Name,Description,Phone,Email,Location
pink intruder,"['Pink intruder is a project organized by a group of artists with expertise in performing interventions in urban space, edition of art and the organization and coordination of cultural events.\xa0We understand the culture and its management as the primary tool to generate debate and the debate as the main tool to generate a more pluralistic, participatory and advanced society', 'The urban space is the ideal place to generate debate as it approaches the viewer and looks for his complicity without having to wait for an approach to cultural contenders. The culture contained has the risk of becoming hidden culture.', 'The cultural product functions as a media of great power, but often the discussion groups are too homogeneous and closed. Popular culture and cultural elites should not be antagonistic. We believe in diversity and the need to generate debate as much transversal as possible.', 'Pink Intruder counts on the expertise and intellectual support of national and international partners in the academic and cultural world.']","[""'+34-609609318'""]",['info@pinkintruder.com'],"[""'mauro guillem 3-3'"", ""'Valencia, ES, 46009'"", ""''""]"
FLXBL Design Consultancy Pvt Ltd,"[' is a design studio based in', '. The studio was set-up in 2014 and has built a portfolio of over 50 projects in various stages of implementation across western India.\xa0', 'We are growing towards becoming a plug-and-play design practice with a vast network of collaborators across the globe who come together to provide customized design solutions to meet specific project requirements.Each entity of this network while being independent has a strong connection with the studio in Ahmedabad. Depending on the complexity, geography and scale of a project, the various units of this network connect to operate as a cohesive team.\xa0', 'Our method of working allows for innovation and the incubation of new ideas through creative discourse, interaction and innovation between the various disciplines that shape design.This integrated working process fosters a certain dynamic environment for the practice itself, allowing it to adapt to challenges, solve problems in innovative and unconventional ways and to explore territories with an open-ended, flexible and methodological approach.', 'FLXBL provides design consultancy services in areas of architecture, interior design, urbanism, master planning, landscape architecture and furniture design.']","[""'91 982 442 3333'""]",['info@flxbl.in'],"[""'304+305 Gala Mart Near Sobo Center'"", ""'South Bopal (SoBo)'"", ""'Ahmedabad, IN, 380 058'"", ""''""]"
Holst Architecture,"['\n\tFor two decades, Holst Architecture founders, Jeffrey Stuhr and John T. Holmes have guided our uniquely skilled and dedicated team.\xa0 We create innovative buildings tailored to each client’s needs, while expressing the highest environmental, social and aesthetic ideals. A clearly defined value system governs our design methodology and an open, collaborative approach facilitates the process. Simplicity and candor supersede brazenness to achieve an understated sophistication that mirrors the time, place and culture in which we practice. We work within our clients’ budgets without compromising craft, each project reflecting our pursuit of clarity, balance, and authenticity. From conception to completion, we oversee all aspects of the planning, design and construction processes to ensure that our projects are functional, efficient, financially responsible and a source of creative inspiration for our client, end user and the communities in which they reside.']","[""'503-233-9856'""]",['info@holstarc.com'],"[""'110 SE 8th Avenue'"", ""'Portland, OR, US, 97214'"", ""''""]"
RobitailleCurtis,"['RobitailleCurtis is an award-winning design firm based in Montréal, Québec and Burlington, Vermont. \xa0Through their multidisciplinary practice of architecture, landscape architecture, urban design, and interiors founders Sophie Robitaille and Andrew Curtis strive for an understated elegance of form, richness in material composition, and a lasting sense of integrity and durability in their work. \xa0They respond to the aspirations of their clients and to the character of place with an architecture that is authentic, efficient, and that endeavors to elevate the human spirit.', ' \xa0| \xa0@robitaillecurtis']","[""'514-508-9950'"", ""'514-508-9950'""]","['andrew@robitaillecurtis.com', 'andrew@robitaillecurtis.com']","[""'300 avenue Victoria'"", ""'Suite 01'"", ""'Westmount, QC, CA, H3Z 2M8'"", ""''"", ""'47 Maple Street'"", ""'#334'"", ""'Burlington, VT, US, 05401'"", ""''""]"
Alex Pettas Architecture,"['We are a three-year old architecture firm located in Los Angeles just east of Culver City, CA. Currently we are working on residential projects in Brentwood and the Hollywood Hills, as well as retail projects. Our aesthetic is rooted in California modernism.']","[""'3106217065'""]",['info@pettas.com'],"[""'4700 W. Jefferson Blvd., #106'"", ""'Los Angeles, CA, US, 90016'"", ""''""]"
Kupiec Architects PC,"['Kupiec Architects PC is pleased to celebrate 30 years of professional service. KAPC has addressed a wide variety of project types which include all phases of commercial, institutional and residential architecture. Our firm has enjoyed building collaborative relationships with allied professionals, engineers and specialized consultants, forming an award-winning organization capable of managing diverse projects of superior quality and design. We apply a generalist philosophy to architecture and design that is focused on content, context, and creative problem-solving. We strive to achieve solutions that are innovative, effective and environmentally conscious.\xa0']","[""'8059696740'""]",['bob@kupiecarchitects.com'],"[""'401 Chapala Street'"", ""'Suite 105'"", ""'Santa Barbara, CA, US, 93101'"", ""''""]"
FLOAT STUDIO,"['FLOAT studio is a full-service architecture and interior design firm specializing in creative spaces for start-up and tech companies.\xa0', ""We work with companies at various stages of growth, and place emphasis on the study of each\xa0company's organizational structure, culture and behavior in the aesthetic and programmatic\xa0design of the space.\xa0""]",[],['info@float.studio'],"[""'New York, NY, US'"", ""''""]"
ISO IDEAS,"['ISO Ideas is an architectural research and design agency based in San Francisco, USA. The founding members graduated from MIT, UPenn and Princeton University and have been managing major architectural projects in internationally acknowledged firms, including SOM, HOK, Ateliers Jean Nouvel, Kengo Kuma and Associates.\xa0', 'We believe that architecture should radiate the warmth of tactility and spatial quality. While buildings nowadays are no longer crafted but assembled, we are devoted to bringing back humanistic care and natural tectonics to all of our projects, ranging from residential, commercial, \xa0cultural, institutional, as well as interior design.\xa0', 'In parallel with architectural practices, ISO endeavors to explore interdisciplinary research and introspective critique. We hope to facilitate theoretical discourse as the vehicle for designing more innovative and kind-hearted works that better serve the communities.']","[""'4157667908'""]",['info@isoideas.com'],"[""'165 11th Street'"", ""'San Francisco, CA, US, 94103'"", ""''""]"
smartvoll,"['Smartvoll. It is not merely Phillip Buxbaum and Christian Kircher. ', 'Smartvoll is a team of unconventional thinkers and visionaries. Our ', 'focus lies unequivocally on the architectonic design process. Having the', ' goal in mind, we always pursue new ways and try out diverging pathways ', 'to ultimately surprise with new and extraordinary solutions. No thought ', 'should be left unthought when you want to turn a vague starting ', 'situation into succinct clarity. The creative freedom during the design ', 'process is being completed by a structured realism during the ', 'realisation. Although, what should never be missing, is an unpretentious', ' environment where you can have fun and laugh.']","[""'0043(0)1 310 18 18'"", ""'0043(0)1 310 19 33'""]",['office@smartvoll.com'],"[""'Nußdorferstraße 65/27'"", ""'Vienna, AT, 1090'"", ""''""]"
KUBE Architecture,"[' is a modern architecture studio that challenges the norms of daily life and attempts to reinterpret ways of working and living in the built environment. As a creative team, each member of the firm brings a unique set of experiences, talents, and passions to the design process.\xa0 Every new challenge is considered in the most creative way possible. KUBE views its clients as partners in the design process, and works to create customized spaces that suit their lifestyle, desires, functional needs, and budget.\xa0', 'KUBE emphasizes the primary components of architectural', 'Working with new materials and methods of construction, research is an on-going process at KUBE. We believe in the value of sustainable materials, and utilize green products whenever possible. Finally, KUBE believes in economy of means, and in creating efficient spaces that achieve both richness and simplicity.', ""KUBE's services consist of architectural and interior design, graphic design, website design, and furniture/cabinetry design and fabrication.""]","[""'202.986.0573'""]",['info@kube-arch.com'],"[""'1700 Connecticut Ave. NW'"", ""'Suite 301'"", ""'Washington, DC, US, 20009'"", ""''""]"
"Urban Architectural Initiatives, RA, PC","['Urban Architectural Initiatives, RA, P.C. (UAI) is an architectural and planning firm with extensive experience in housing and community facilities, as well as educational, residential, health care, religious, commercial, transportation, historic restoration and urban revitalization projects. A primary focus has been serving nonprofit, community-based organizations that provide housing, treatment and social services to various special needs populations including the homeless, mentally ill, senior citizens and single mothers. The practice draws on the varied experiences of its principals and staff, combining a strong interest in urban building types with a broad and in-depth knowledge of the construction industry.', 'UAI was formed by David Hirsch and Tony Shitemi in 1996 and has grown to become a diverse, ten person firm. After establishing site-specific parameters we work with the client to define and understand their program followed by a design charrette that explores concepts of space and image appropriate to the project. We engage our clients in the full design process and have comprehensive experience working with government regulating and funding agencies and with clients whose projects require careful consideration of needs and suitable allocation of resources. We have fully integrated sustainable design in our practice to achieve buildings that reduce energy costs, are ecologically friendly, and provide a healthy indoor environment, and we have 2 LEED accredited professionals on our staff.', 'Every project begins as a blank slate in which the architect’s role is to identify, organize and prioritize a variety of design-influencing factors such as the site condition, the client’s wishes and the entire consultant team’s recommendations. The office is especially committed to maintaining the highest quality product resulting from a well-founded design approach, proper documentation of the construction requirements and meticulous supervision during the construction process. It is our mission to provide the most creative design solutions to satisfy the various challenges of a project.\xa0 Our buildings are warm and welcoming environments that enrich the lives of individuals, families and communities.', 'UAI has successfully completed many projects for the City of New York, State of New York, and the United States Federal Government. UAI’s principals and staff have longstanding relationships with a wide range of governmental agencies and local community groups. The firm brings to its clients a dedication to the design and production process as well as in-depth knowledge of governmental guidelines, standards and regulations, UAI continues to expand its list of completed projects in the five boroughs and the tri-state area.\xa0']","[""'2129791510'"", ""'2129791737'""]",['caustin@uai-ny.com'],"[""'233 Broadway'"", ""'Suite 2150'"", ""'New York, NY, US, 10279'"", ""''""]"
Framestudio,"['We are a team of designers who are passionate for the architecture of simplicity.\xa0', 'Be it a new home designed for\xa0family living, a\xa0cabin in the woods\xa0providing respite from an\xa0overstimulating world, or a commercial space with a bold\xa0formal idea, our work\xa0 celebrates the calm, the unassuming, and the lyrical.\xa0 \xa0', 'Our simple aesthetic belies an underlying complexity.\xa0 We\xa0blend the latest advances in\xa0 building technology and sustainable building practices\xa0with honest materials\xa0and hand craftsmanship to create spaces that go beyond just providing shelter.\xa0 They feed the soul.\xa0', 'Success comes\xa0after we hide\xa0the complexity, making it look simple and effortless (and by sharing a few laughs along the way).\xa0\xa0', 'KEY TYPOLOGIES:']","[""'+1 510 740 9172'""]",['hey@framedesign.studio'],"[""'1305 Franklin St, Suite 300'"", ""'Oakland, CA, US, 94612'"", ""''""]"
ONE 10 STUDIO Architects,"['High-quality design has the power to create innovative environments and affect positive change in our cities, neighborhoods and lives. As an Indianapolis-based architecture studio, it is our goal at ', ' to deliver excellent design on every project, resulting in award-winning architecture. We assemble collaborative teams tailored to individual projects and clients where everyone can succeed. Instead of restricting our practice to specific markets, we strive for challenging design opportunities, with the belief that good design is good business. Thoughtful, highly-crafted architecture can and should occur anywhere, anytime and at any budget.']","[""'317-501-6021'"", ""'317-282-0656'""]",['info@one10studio.com'],"[""'200 S. Meridian St.'"", ""'Suite 301'"", ""'Indianapolis, 46225'"", ""''""]"
Huntsman Architectural Group,['\n\t'],"[""'415-394-1212'"", ""'212-693-2700'"", ""'312-278-1157'""]",[],"[""'50 California Street'"", ""'Seventh Floor'"", ""'San Francisco, CA, US, 94111'"", ""''"", ""'48 Wall Street'"", ""'Fourth Floor'"", ""'New York, NY, US, 10005'"", ""''"", ""'111 West Illinois Street'"", ""'Fifth Floor'"", ""'Chicago, IL, US, 60654'"", ""''""]"
Jaklitsch/Gardner Architects PC,"['Jaklitsch / Gardner Architects is an award-winning design practice with an international reputation for design excellence, material research, and its exacting commitment to craft. Founded in 1998, and led by firm principals Stephan Jaklitsch and Mark Gardner who believe that design possesses the ability to communicate collective values, provide relevance and create meaning with attention to context, materiality, form and sustainability.', 'Jaklitsch / Gardner has received (9) American Institute of Architecture Awards including a National Honor Award, been awarded by the Chicago Athenaeum Museum of Architecture & Design, Architizer, and been honored by the Japan Institute of Architecture, among many other prestigious international design institutions. Their work has been exhibited widely and featured in numerous publications, such as the New York Times, the Wall Street Journal, Surface Magazine, Architectural Record, FRAME Magazine, Elle Décor and Architectural Digest.', '\n\tVisit our ', ' to learn more. \xa0']",,,
FaulknerBrowns Architects,"['We are an architectural practice with over fifty years of experience in creating buildings and places where people do better. We have a reputation for using our expertise and experience to question traditional typologies, challenging what a particular building or place may look like, how it might be used, and the ways it can impact society.\xa0', 'We are recognised for our work in architectural design, masterplanning and strategic thinking. Our team of over one hundred architects, designers and technologists deliver projects of varying scale and complexity for clients internationally.']","[""'+44 191 2683007'""]",['info@faulknerbrowns.co.uk'],"[""'Dobson House'"", ""'Northumbrian Way'"", ""'Newcastle upon Tyne, GB, NE126QW'"", ""''""]"
abastudio / Andrew Bartle Architects,[],"[""'(212) 206-8929'"", ""'(212) 206-1714'""]",['admin@abastudio.com'],"[""'37 W 20th Street, Suite 1201'"", ""'New York, NY, US, 10011'"", ""''""]"
Behzad Atabaki Studio,"['Established by Behzad Atabaki in 1999, “', '” is recognized for its work in architecture, urban design, landscape architecture, interior design and furniture design. Team members come from multidisciplinary backgrounds including architecture, computer presentation, model making, landscape design and fine arts.', 'In the studio there has always been a workshop for making models, experimental pieces and prototypes. With this resource, it has been possible for “Behzad Atabaki Studio”\xa0to act as a contractor on its projects.', 'Believing in the multidisciplinary approach to architectural design, Behzad Atabaki has earned three master’s degrees in three interrelated fields of “architecture” ( 1998), “urban design” (2002) as well as “landscape architecture” (2006).', 'Winning the 1st prize in the competition, he has been elected as the curator of the Iran Pavilion at Venice Architecture Biennale 2016.', 'He is a member of the Iranian Construction Engineers Organization and the ministry of road and urban development.', 'In 2007 he participated in the fellowship program as the individual Iranian representative for the Japan Foundation Intellectual Exchange 2007-2008, surveying the Japanese contemporary architecture through visiting several architectural projects in Japan and meeting a number of prominent Japanese architects.', 'He has been nominated for', ', tenth cycle (2005-2007) and finalist in\xa0', '.', 'He has also been awarded in a number of architecture, Interior design and urban design competitions.', 'Established by Behzad Atabaki in 1999, “BEHZAD ATABAKI STUDIO” is recognized for its work in architecture, urban design, landscape architecture, interior design and furniture design. Team members come from multidisciplinary backgrounds that include architecture, computer presentation, model making, landscape design and fine art.', '.', '2017 Finalist, Middle East Architects Awards 2017, for Architect of The Year, Dubai, UAE', '2017 Finalist, World Architecture Festival (WAF) 2017, Berlin, Germany', '2017 First place, Kish Residential Tower competition, Kish Island, Iran', '2016 Elected as the curator of the Iran National Pavilion at Venice Architecture Biennale 2016', '2016 First place, Iran National Pavilion at Venice Architecture Biennale competition', '2015 Nominated as the boutique Middle East Architecture Firm of the Year 2016', '2015 Participating in Venice Biennale 2015 – Iran Architecture Pavilion, Venice, Italy', '2015 Selected project, Exhibition of Iranian Contemporary Architecture in Rome,Italy', '2015 Special mentioned, Architizer A+Awards', '2014 Shortlisted, Middle East Architects Awards, Dubai, UAE', '2014 Honorable mentioned, Lighting design competition, Tehran, Iran', '2013 Shortlisted, Public buildings competition, Memar Award, Tehran, Iran', '2007 Fellowship Program for Intellectual Exchange 2007-2008, Tokyo, Japan', '2007 Nominated for\xa0the Aga Khan Award for Architecture; tenth cycle (2005-2007), for Dena Cassette Building, Tehran, Iran', '2005 Honorable mentioned, Tehran Book Garden (competition), Tehran, Iran', '1999 Second\xa0place, Insurance office, 2nd. Building (competition), Abadeh, Iran', '1995 Honorable mentioned, A New Façade for Hilton Hotel (competition), Tehran, Iran', '2010-2018 Faculty of Architecture, Azad University', '2004-2005 Faculty of Architecture and Urbanism, Dep. of Landscape Architecture, Shahid Beheshti University, Tehran, Iran', '2002 Fine Art Faculty, Department of urban design, Tehran University, Tehran, Iran', '• Teaching Assistant, urban design studio']",[],[],"[""'Tehran, IR'"", ""''""]"
dake wilson architects,"['dake wilson architects is a full service design practice which creates innovative and thoughtful residential, retail, and commercial architecture. sustainable design is seamlessly incorporated into many of our projects. dwa thrives on collaboration and experimentation to make our common, everyday places unique and exciting.']","[""'323-522-3770'""]",['info@dakewilson.com'],"[""'3035 N Coolidge Ave'"", ""'Los Angeles, CA, US, 90039'"", ""''""]"
studio 15b,"['studio 15b arquitectura, es un estudio MULTIDISCIPLINARIO dedicado a proyectos de oficinas, comerciales, habitacionales, diseño de interiores, coordinación y supervisión de obra, investigación en nuevos materiales y arquitectura digital.', 'Nos interesa proveer a nuestros clientes, el mejor servicio posible, alta calidad en diseño y lo último en tecnología visual. Colaboramos junto con el cliente para identificar necesidades y estrategias de trabajo, que se adapten al proceso de planeación del proyecto, obra y entrega llave en mano.', 'Los proyectos en los que hemos participado han sido, locales, regionales e internacionales. El servicio que ofrecemos, está basado en lo último en tecnología y procesos de diseño, creando un ámbito de trabajo destinado a garantizar la rentabilidad y el bienestar de nuestros clientes.', 'Nos enorgullece tener la capacidad de trabajar con clientes diversos, lo que nos ha permitido establecer una buena relación y a comprender quiénes son, qué necesitan y cómo quieren lograrlo. Este es un proceso que no sólo se premia con nuevos proyectos y referencias, sino muchas veces con relaciones de amistad.']","[""'(415) 1858955'""]",['contacto@studio15b.com.mx'],"[""'San Miguel Allende, MX'"", ""''""]"
EAA-Emre Arolat Architecture,"['\n', 'EAA - Emre Arolat Architecture was founded in May 2004 by Emre Arolat and Gonca Paşolar in Istanbul, as the continuation of Emre Arolat’s architectural practices which he started at his parents’ office, Arolat Architects, as an associate designer in 1987. Today EAA is not only one of the largest architectural offices of Turkey, also has a recognized presence in the global scene along its offices in New York and London in addition to Istanbul. Since its establishment, the studio has accomplished an impressive body of work across a very diverse scope ranging from urban masterplans, airports to residential, cultural buildings and workplaces.\xa0', 'The practice has received international attention very early with the Minicity Theme Park in 2014 which was recognized as Selected Work by the Mies van der Rohe Awards for European Architecture. A great number of international awards followed including Aga Khan Award for Architecture in 2010 with the Ipekyol Textile Factory Building. Latest breakthrough project Sancaklar Mosque, a building that blends perfectly with the landscape, is again honored by the selection of Mies van der Rohe Award in 2015, along many others.', 'EAA is highly regarded for its ability to reconcile the identity and rootedness of the context and the place within its cultural, historical and geographic conditions, with the inescapable demands of the contemporary world to succeed in delivering a compelling design as a result. Well experienced in big scale national and international projects, the studio cares collaboration with worldwide engineering and consultancy firms and adopts the cutting-edge computer programming to carry them out. The design is pursued till the smallest detail, comprehensively elaborated, solved and drawn.\xa0\xa0', ""The noteworthy works of the studio have been compiled in the monograph 'Context & Plurality' edited by Philip Jodidio and Suha Ozkan and published by Rizzoli New York in 2013. They are displayed in several important institutions as Design Museum and Royal Academy of Arts in London, at RIBA and at as well as in the International Architecture Biennale in Venice both at 2012 and 2016."", 'The co-founder and lead designer of the practice, Emre Arolat has been internationally sought after lecturer at prestigious universities. Recently, he taught at the Advanced Studio at Yale School of Architecture as Norman R. Foster Visiting Professor in the 2017 Fall Semester. Arolat was the co-curator of the first Istanbul Design Biennale in 2012. He was granted with a professorship by International Academy of Architecture in 2015.', ' ', '\n']",,,
FMG Architects,"['\xa0excels. Our creative approach delivers ingenious design that provides high-value sustainable buildings. Collaboration with our clients at the initial stages of work ensures successful cost effective life-cycle based projects. Our award-winning work is instilled with a sense of appropriateness, endurance, and quality.', 'FMG is a recognized leader in the design of governmental and public agency projects. We have specialized expertise in transportation systems and related facilities including rail stations, airport and water ferry terminals, operations and maintenance buildings, and parking structures.', 'Transportation facilities present unique design challenges due to their complex nature and stringent compliance with technical and code requirements. Public safety, accessibility, and exiting including signage and wayfinding are of utmost importance.', 'Because these facilities have a high level of visibility, they must be attractive, efficient, and cost effective implementing durable low-maintenance sustainable equipment and materials. Transit systems should also be sensitively designed and integrated with the surrounding environment thereby enhancing the traveler’s experience and benefiting the community in general.', 'FMG responds to the specific needs of each project. Regardless of size or scope, all projects are directed by a principal of the firm ensuring the highest quality work. We utilize the most current software to facilitate various methods of project delivery. Combining exceptional organizational skills and talented professional expertise with rigorous quality control, our projects respond to our client’s requirements adhering to budget, schedule, and detail while offering results that exceed expectations.']","[""'5104658700'""]",['architects@fmgarchitects.com'],"[""'330 15th Street'"", ""'Oakland, CA, US, 94612'"", ""''""]"
m3architecture,[],,,
envelope A+D,"['\xa0is an award-winning, design-focused architecture practice whose work reaches across disciplinary boundaries to envision new ways of living and working. Founded in 2002, the firm is recognized for its pioneering work transforming underutilized sites across San Francisco and for crafting environments for work, hospitality and the arts that embrace the dynamics of contemporary life.\xa0', 'Taking an expansive view of design, envelope A+D engages a wide ranging set of questions spanning architecture, development, product design and curation. In addition to The French Laundry Kitchen Expansion, this approach has informed projects as varied as\xa0', ', an unconventional family retreat;\xa0', ', an interim use design and development strategy; the family of\xa0', 'restaurants; and\xa0', ', a half-mile long bayshore park on the site of a former power plant.', 'envelope A+D has been honored as part of Architectural Record’s Design Vanguard and the United States Pavilion at the 2012 Venice Architecture Biennale. The New York Times, T Magazine, Architect, Architectural Record, Interior Design, Fast Company and Phaidon all have featured the firm’s work.']","[""'5106442400'""]",['jobs@envelopead.com'],"[""'2212 Sixth Street'"", ""'Berkeley, CA, 94710'"", ""''""]"
GAD ARCHITECTURE,"['Gokhan Avcioglu, TMMOB, AIA, RIBA, CNOA, SBA', 'GAD', 'Principal and founder of GAD - Global Architectural Development, Gokhan Avcioglu and his design team have been producing dynamic, innovative concepts for projects ranging from small private homes to expansive Urban Master Plans in Turkey and around the world for over twenty-five years.', 'Led by Mr. Avcioglu, the dedicated International creative staff of GAD takes an unconventional approach to creating projects that push the boundaries of architectural thinking forward.\xa0 Supported by his GAD teams, Mr. Avcioglu has won numerous awards, including the 1997 Turkish Architecture Prize, a Bronze Medal in Miami Bienal in 2003, Archmarathon Award in 2014, German Iconic Awards in 2014, Chicago Athenaeum Green Good Design Award in 2015, 2014 and 2012, MIPIM AR Future Awards in 2017, 2013 and 2012, and International Property Awards in 2015,2014 and 2013. A number of his projects have been nominated for the Aga Khan Award for Architecture.', 'Among his extensive and numerous projects are office buildings, hotels, cultural centers, public and commercial spaces, and a multitude of residences in Istanbul, Bodrum, New Jersey, New York City, Washington DC, Virginia, Connecticut, Libya, Beirut, Riyadh and Kiev. Among his most recent projects are mixed-use residential and commercial projects in Istanbul and New York and hotels and private residences in Bodrum, Kazan, and Kiev.', 'Mr. Avcioglu and GAD’s projects have been exhibited extensively at the Minima Art Gallery in Philadelphia, the Miami Bienal, the Museum of Architecture in Rotterdam, and at the Royal Art Academy in London. In April 2008, objects designed by Mr.Avcioglu were shown in the Block Exhibition in Milan, and in 2010, GAD’s work was exhibited in Los Angeles. His selected projects were shown in executive design weeks such as Prague Design Week, Istanbul Design Week and,in 2012, his One and Ortakoy project was exhibited at The Chicago Athenaeum Museum.', 'His academic activities and teachings include Architectural Design studios at the Ecole Speciale d’Architecture in Paris, Yildiz Technical University, and Istanbul Technical University.', 'In 2014, the GAD Foundation was established with the aim of cultivating a better understanding of the environment for architecture and construction. Seeking to raise broader awareness of the current stateof both the education and practice of these fields, the GAD Foundation produces videos, conducts training seminars and sponsors workshops.\xa0 Most recently, Mr. Avcioglu and GAD Foundation were proud sponsors of “Emerging Architecture Awards” and “Women in Architecture” for Architectural Review Magazine, a publication for which Mr. Avcioglu has often served as a consultant and Jury Member.', 'Mr. Avcioglu and GAD are headquartered in Istanbul with design studios in New York and Bodrum.\xa0']","[""'00902123275450'""]",['sinem@gadarchitecture.com'],"[""'Istanbul, TR'"", ""''""]"
LINK Arkitektur,"['LINK arkitektur is one of the leading architect offices in Scandinavia. The offices have a staff of approximately 470 professionals. Most of our staff are architects (MA), but we also have other professionals (landscaping, interior, engineers and planning) represented in the firm. LINK arkitektur has a wide professional competence and major work capacity, which we have built through work with all kinds of projects throughout the years.', 'We have Offices in Oslo, Fredrikstad, Stavanger, Bergen, Stord, Trondheim, Falköping, Lidköping, Malmö, Stockholm, Trollhättan, Skellefteå, Umeå and Copenhagen.']",,,
NEON Architecture,"['NEON Architecture is an Indianapolis-based design studio focused on raising and expanding the level of urban housing design in our cities. We approach residential architecture through the lenses of effective design and efficient use of space and resources while constantly exploring innovative building methods and materials.\xa0', 'At NEON, we believe we have the opportunity to challenge the way we build and design for today’s growing and changing populations. As our cities continue to grow, NEON hopes to set the example of intentional thought behind how we live in our homes, what they provide for our communities, and how they impact future growth and development.']",[],['info@neonarchitecture.com'],"[""'Indianapolis, IN, US, 46203'"", ""''""]"
rgg Architects,"['rggA was founded in Ankara to research into, think on, and produce architecture and create a critical design environment. So far, the office has successfully completed a lot of national and international projects. Having worked on projects in various sizes and of subjects from large-scale urban projects to one housing project, the office specializes especially in college campuses, hotels and housings.\xa0', 'To complete the buildings in targeted quality, cost and time, the office also provides professional supervision, site management and consulting services, as well as project services. For this purpose, it works with a board of consultants created in the fields of engineering projects, procurement management, and field management.\xa0', 'Having produced projects in compliance with IBC NFPA, ASTM, EN, BS standards in addition to the applicable regulations and standards in Turkey, the office can prepare specifications in accordance with the Masterspec format. If requested, projects with three-dimensional building information modeling (BIM) can be produced to cover all architectural and engineering projects.']","[""'+90 312 240 40 20'""]",['press@rgga.com.tr'],"[""'Prof. Dr. Ahmet Taner Kışlalı Mah. 2839 Cad.'"", ""'No:16 Çayyolu / Çankaya'"", ""'Ankara, TR, 06810'"", ""''""]"
Vincent Martineau Architiect,"['Vincent Martineau Architect P.C. – VMAPC – was founded in 2008 in New York City. Our work covers a wide range of project types, in particular, residential apartment buildings, and the planning and design of higher education academic facilities.', 'Based in New York City, we are very well versed in the local planning standards, the intricacies of the various applicable codes and interactions with the department of buildings and other city agencies.', 'We have accumulated over the years a reliable network of consultants and resources in the industry that allow us to optimize our design and find solutions to unique situations, as every project is unique.', '\xa0']",,,
"Michael W Folonis, Architects","['Michael W Folonis Architects is an award-winning design studio located in Santa Monica, California, directed by Michael Folonis, FAIA. The firm was founded in 1983 and celebrates over 30 years of excellence.', 'Michael creates distinctive Modernist architecture with a quality of timelessness. He approaches his work with a generous spirit of inquiry, infusing each project with an awareness of environmental responsibility, context, theory, function, and the maximal use of form, materials and natural light. The work has been published nationally and internationally, and is recognized for carrying on the rich legacy of Modernist exploration within the Southern California region. His work includes multi-family residential, commercial, mixed-use, single-family residential and restoration of historically significant Modernist buildings. He has received numerous regional and national design awards.']","[""'310.899.3920'""]",['info@folonisarchitects.com'],"[""'1524 Cloverfield Boulevard'"", ""'Suite D'"", ""'Santa Monica, CA, US, 90404'"", ""''""]"
wAtelier LLC,"['wAtelier is a Japanese/American architectural design firm in the heart of Tokyo. Ongoing projects include two hotels in Vietnam and various new build proposals and renovations in Tokyo.', 'From our headquarters in Japan, we offer elegant and contemporary design solutions that address corporate identity and operational practicality, while tackling the challenges of the given site and spatial possibilities, wherever it is in the world.\xa0', 'Full attention is given to all aspects of the design, from code requirements and detailing to construction documentation, all in coordination with local staff for overseas projects, and in-house for projects in Japan.', 'Mieko Watanabe, Director. M.Arch, Yale University. Trained at small boutique firms around Tokyo. Part-time university lecturer at IES Abroad.']","[""'03-5422-7675'"", ""'03-6452-5359'""]",['watanabe@wa-telier.com'],"[""'4F, 9-10 Daikanyama-cho'"", ""'Shibuya-ku'"", ""'Tokyo, JP, 156-0034'"", ""''""]"
Quackenbush Architects + Planners,"['\n\tThe work of Quackenbush Architects + Planners that you see in communities throughout South Carolina is indicative of a valued ability to blend creativity, connectivity, and reality into lasting solutions.', '\n\tWe are a full-service architecture and planning firm located in Columbia, South Carolina specializing in institutional, civic, educational, and commercial projects. Our services span from building design to land planning to interior design. Our portfolio includes projects for universities, cities, colleges, government agencies, school districts, and private clients. Our work reflects a commitment to innovation, sensitivity to our regional context, and the richness that comes from collaboration with our clients and the community.', '\n\tFor more information about our firm or our projects, please visit ', '.']","[""'(803) 771-2999'"", ""'(803) 771-2858'""]",['pdq@quackenbusharchitects.com'],"[""'1217 Hampton Street'"", ""'Columbia, SC, US, 29201'"", ""''""]"
Gradient Architecture Studio,"['Gradient was founded by Ben Krone in Brooklyn, New York in 2006. Originally conceived as a design collective exploring the intersections of graphic art and architecture, Gradient Architecture PLLC, is now a full-service architecture and design firm specializing in cost-effective means for producing quality design through the use of computer-aided precision tools and manufacturing processes.', 'Gradient employs a philosophy of design that focuses heavily on process and operates free of limitations of project scale or typology. We believe that good design emerges from a thoughtful collaboration between client, architect, builder, and crafts-person. In all of our undertakings, we seek to shape the client’s vision to the singularity of each site to create inspirational and compelling work with an emphasis on craft, materiality, and innovation.']","[""'917-463-3392'""]",['ben@gradientarch.com'],"[""'119 8th Street'"", ""'Brooklyn, NY, US, 11215'"", ""''""]"
CORE architecture + design,"['Under the leadership of Principals Dale Stewart, Guy Martin, Allison Cooke, and David Cheney, CORE architecture + design thrives on complex projects and leads with experience, understanding that their best work comes from designing hand in hand with their clients. Bringing a spirit of exploration to each project, CORE believes that design has the power to shape experiences.\xa0Welcome to CORE.']","[""'202-466-6116'""]",['info@coredc.com'],"[""'1010 Wisconsin Avenue NW'"", ""'Suite 405'"", ""'Washington, DC, US, 20007'"", ""''""]"
